  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -15.000  -1.1951   0.03408   0.02090  -0.0686   1.0000   0.0143   1.0000  92.3251
 -14.000  -1.1838   0.02722   0.01560  -0.0647   1.0000   0.0150   1.0000  92.5575
 -13.000  -1.1338   0.02339   0.01261  -0.0587   1.0000   0.0160   1.0000  92.8889
 -12.000  -1.0836   0.01992   0.00999  -0.0505   1.0000   0.0173   1.0000  93.3074
 -11.000  -1.0203   0.01784   0.00842  -0.0429   1.0000   0.0189   1.0000  93.7769
 -10.000  -0.9168   0.01537   0.00650  -0.0433   0.9964   0.0212   1.4368  94.4215
  -9.000  -0.7857   0.01344   0.00503  -0.0487   0.9915   0.0248   2.0271  95.3477
  -8.000  -0.6554   0.01181   0.00385  -0.0534   0.9836   0.0298   2.7375  96.4716
  -7.000  -0.5251   0.01049   0.00292  -0.0577   0.9724   0.0374   3.6425  97.9051
  -6.000  -0.4121   0.00934   0.00217  -0.0579   0.9516   0.0501   5.1328  99.7735
  -5.000  -0.3050   0.00847   0.00159  -0.0565   0.9224   0.0721   7.0153 102.1835
  -4.000  -0.1967   0.00770   0.00115  -0.0555   0.8848   0.1161   9.3488 105.6925
  -3.000  -0.0875   0.00708   0.00082  -0.0547   0.8387   0.1900  12.1735 110.5733
  -2.000   0.0220   0.00659   0.00061  -0.0540   0.7828   0.2959  15.5901 117.0690
   0.000   0.2371   0.00564   0.00049  -0.0520   0.6517   0.6795  23.5781 139.8384
   1.000   0.3413   0.00548   0.00061  -0.0498   0.5859   0.8601  27.5834 150.4550
   2.000   0.4496   0.00578   0.00079  -0.0481   0.5256   0.9675  31.2661 157.0430
   3.000   0.5927   0.00635   0.00095  -0.0549   0.4636   0.9942  35.0636 159.3062
   4.000   0.7146   0.00693   0.00107  -0.0573   0.3980   1.0000  39.1125 160.0000
   5.000   0.8094   0.00775   0.00125  -0.0540   0.3155   1.0000  44.3268 160.0000
   6.000   0.9019   0.00905   0.00170  -0.0505   0.2121   1.0000  51.0223 160.0000
   7.000   0.9947   0.01068   0.00239  -0.0474   0.1185   1.0000  57.5008 160.0000
   8.000   1.0875   0.01234   0.00321  -0.0445   0.0660   1.0000  61.9050 160.0000
   9.000   1.1798   0.01392   0.00405  -0.0416   0.0436   1.0000  64.5710 160.0000
  10.000   1.2674   0.01567   0.00501  -0.0381   0.0324   1.0000  66.3700 160.0000
  11.000   1.3469   0.01766   0.00613  -0.0336   0.0262   1.0000  67.6395 160.0000
  12.000   1.4090   0.02001   0.00744  -0.0265   0.0222   1.0000  68.5825 160.0000
  13.000   1.4570   0.02338   0.00946  -0.0191   0.0195   1.0000  69.2875 160.0000
  14.000   1.4923   0.02821   0.01253  -0.0127   0.0173   1.0000  69.9297 160.0000
  15.000   1.5196   0.03469   0.01698  -0.0086   0.0160   1.0000  70.3461 160.0000
