  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -15.000  -1.1951   0.03408   0.02090  -0.0686   1.0000   0.0143   1.0000  92.3251
 -14.500  -1.1924   0.02985   0.01758  -0.0683   1.0000   0.0146   1.0000  92.4295
 -14.000  -1.1838   0.02722   0.01560  -0.0647   1.0000   0.0150   1.0000  92.5575
 -13.500  -1.1618   0.02513   0.01399  -0.0617   1.0000   0.0155   1.0000  92.7220
 -13.000  -1.1338   0.02339   0.01261  -0.0587   1.0000   0.0160   1.0000  92.8889
 -12.500  -1.1062   0.02179   0.01135  -0.0551   1.0000   0.0164   1.0000  93.0404
 -12.000  -1.0836   0.01992   0.00999  -0.0505   1.0000   0.0173   1.0000  93.3074
 -11.500  -1.0523   0.01885   0.00921  -0.0467   1.0000   0.0181   1.0000  93.5358
 -11.000  -1.0203   0.01784   0.00842  -0.0429   1.0000   0.0189   1.0000  93.7768
 -10.500  -0.9770   0.01695   0.00767  -0.0411   0.9994   0.0196   1.0787  93.9904
 -10.000  -0.9168   0.01537   0.00650  -0.0433   0.9964   0.0212   1.4361  94.4220
  -9.500  -0.8513   0.01453   0.00585  -0.0459   0.9938   0.0228   1.7605  94.8511
  -9.000  -0.7857   0.01344   0.00503  -0.0487   0.9915   0.0248   2.0275  95.3478
  -8.500  -0.7226   0.01270   0.00449  -0.0506   0.9868   0.0269   2.4471  95.8468
  -8.000  -0.6554   0.01181   0.00385  -0.0534   0.9836   0.0299   2.7374  96.4718
  -7.500  -0.5851   0.01111   0.00335  -0.0568   0.9811   0.0333   2.9641  97.1670
  -7.000  -0.5251   0.01049   0.00292  -0.0577   0.9724   0.0374   3.6427  97.9051
  -6.500  -0.4672   0.00988   0.00252  -0.0581   0.9628   0.0432   4.3541  98.8076
  -6.000  -0.4121   0.00934   0.00217  -0.0579   0.9516   0.0501   5.1301  99.7738
  -5.500  -0.3586   0.00889   0.00187  -0.0572   0.9378   0.0594   6.0370 100.8869
  -5.000  -0.3050   0.00847   0.00159  -0.0565   0.9224   0.0721   7.0153 102.1834
  -4.500  -0.2511   0.00806   0.00136  -0.0560   0.9046   0.0908   8.1250 103.7927
  -4.000  -0.1967   0.00770   0.00115  -0.0555   0.8848   0.1161   9.3493 105.6922
  -3.500  -0.1422   0.00738   0.00097  -0.0551   0.8627   0.1486  10.7058 107.9116
  -3.000  -0.0875   0.00708   0.00082  -0.0547   0.8387   0.1900  12.1737 110.5740
